ID,date,value,CO2,temp,outT,TSV,adapt_comf
329,2024-03-18 09:00:00,0.4,431.0,22.1,9.86,0.8,0
330,2024-03-18 10:00:00,0.4,431.0,21.9,10.4,1.9,0
331,2024-03-18 11:00:00,0.4,429.0,21.8,12.1,0.9,0
332,2024-03-18 12:00:00,0.4,427.0,21.7,12.0,0.7,0
333,2024-03-18 13:00:00,0.4,422.0,21.5,13.2,0.7,0
334,2024-03-18 14:00:00,0.4,416.0,21.6,13.1,0.7,0
335,2024-03-20 09:00:00,0.3,432.0,22.2,11.1,0.4,0
336,2024-03-20 10:00:00,0.3,439.0,21.9,11.9,0.6,0
337,2024-03-20 11:00:00,0.3,437.0,21.8,13.4,0.6,0
338,2024-03-20 12:00:00,0.3,436.0,21.6,14.8,0.7,0
339,2024-03-20 13:00:00,0.3,435.0,21.4,15.4,0.3,0
340,2024-03-20 14:00:00,0.3,434.0,21.3,16.3,0.3,0
341,2024-03-21 09:00:00,0.3,447.0,21.8,9.24,0.4,0
342,2024-03-21 10:00:00,0.3,444.0,21.5,11.2,0.7,0
343,2024-03-21 11:00:00,0.3,442.0,21.4,12.8,0.8,0
344,2024-03-21 12:00:00,0.3,440.0,21.3,13.8,0.1,0
345,2024-03-21 13:00:00,0.3,438.0,21.3,13.6,0.1,0
346,2024-03-21 14:00:00,0.3,436.0,21.1,14.2,0.1,0
347,2024-03-21 17:00:00,0.3,452.0,20.4,15.0,0.5,0
348,2024-03-21 18:00:00,0.2,458.0,20.5,14.6,0.5,0
349,2024-03-26 09:00:00,0.1,425.0,21.7,8.46,0.3,0
350,2024-03-26 10:00:00,0.1,425.0,21.5,9.77,0.3,0
351,2024-03-26 11:00:00,0.1,424.0,21.3,10.6,0.4,0
352,2024-03-26 12:00:00,0.1,425.0,21.3,11.4,0.0,0
353,2024-03-26 13:00:00,0.1,426.0,21.2,12.1,0.9,0
354,2024-03-26 14:00:00,0.1,431.0,21.0,12.2,0.4,0
355,2024-03-27 09:00:00,0.3,415.0,22.1,6.31,-0.6,0
356,2024-03-27 10:00:00,0.3,420.0,21.8,6.65,0.1,0
357,2024-03-27 11:00:00,0.3,424.0,21.4,7.02,-0.4,0
358,2024-03-27 12:00:00,0.3,426.0,21.1,7.07,-0.8,0
359,2024-03-27 13:00:00,0.3,427.0,21.0,6.76,0.3,0
360,2024-03-27 14:00:00,0.3,424.0,20.9,5.07,0.2,0
